Name,Value,Start,Size,Type,Color,Comment
Header,,0h,38h,struct FmdlHeader,Fg: Bg:0x6F7755,
Signature[4],FMDL,0h,4h,char,Fg: Bg:0x6F7755,
Signature[0],70 'F',0h,1h,char,Fg: Bg:0x6F7755,
Signature[1],77 'M',1h,1h,char,Fg: Bg:0x6F7755,
Signature[2],68 'D',2h,1h,char,Fg: Bg:0x6F7755,
Signature[3],76 'L',3h,1h,char,Fg: Bg:0x6F7755,
Version,2.04,4h,4h,float,Fg: Bg:0x6F7755,
FileDescOffset,64,8h,4h,uint,Fg: Bg:0x6F7755,
FeatureTypes,7827455,10h,4h,uint,Fg: Bg:0x6F7755,
BufferTypes,5,18h,4h,uint,Fg: Bg:0x6F7755,
FeatureCount,20,20h,4h,uint,Fg: Bg:0x6F7755,
BufferCount,2,24h,4h,uint,Fg: Bg:0x6F7755,
FeaturesDataOffset,256,28h,4h,uint,Fg: Bg:0x6F7755,
FeaturesDataSize,18672,2Ch,4h,uint,Fg: Bg:0x6F7755,
BuffersDataOffset,18928,30h,4h,uint,Fg: Bg:0x6F7755,
BuffersDataSize,651456,34h,4h,uint,Fg: Bg:0x6F7755,
FeatureHeaders[20],,40h,A0h,struct FeatureHeader,Fg: Bg:0x3E714F,
FeatureHeaders[0],,40h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_BONE_DEFS (0),40h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,41h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,127,42h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,0,44h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[1],,48h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_DEFS_GROUP_HEADERS (1),48h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,49h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,2,4Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,6096,4Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[2],,50h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_DEFS_GROUP_DEFS (2),50h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,51h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,3,52h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,6112,54h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[3],,58h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_DEFS (3),58h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,59h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,26,5Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,6208,5Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[4],,60h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
